label,area,perimeter,circularity,aspect_ratio,solidity,eccentricity,mean_intensity_gray,std_dev_intensity_gray,peak_intensity_gray,mean_b,mean_g,mean_r,source_file,source_object_id
Yıldız,102.5,38.38477599620819,0.8742098758917108,1.0833333333333333,0.9624413145539906,0.2756669014414682,70.74166666666666,32.40177357114201,157.0,91.91666666666667,70.11666666666666,63.641666666666666,galaksi_andromeda_galaxy_astrophotography_2_features.json,59
Yıldız,119.5,41.21320295333862,0.8841074165762514,0.9285714285714286,0.9715447154471545,0.3654905380371488,71.18115942028986,35.66231224412928,168.0,83.72463768115942,71.30434782608695,66.05072463768116,galaksi_andromeda_galaxy_astrophotography_2_features.json,74
Yıldız,266.5,61.35533821582794,0.8896155559947788,1.0,0.9779816513761468,0.3481174371387222,92.29351535836177,52.98144300280355,210.0,97.6518771331058,92.37542662116041,89.89761092150171,galaksi_andromeda_galaxy_astrophotography_2_features.json,113
Yıldız,344.0,77.59797883033752,0.7179058423256024,1.0869565217391304,0.9222520107238605,0.6625918797568706,57.67724867724868,7.086507101980023,79.0,84.79100529100529,55.645502645502646,51.05820105820106,galaksi_andromeda_galaxy_astrophotography_2_features.json,302
Yıldız,614.0,94.9116872549057,0.8565226406144122,1.0,0.9692186266771902,0.2809465025679282,105.64427480916031,51.58507559822024,213.0,161.3267175572519,100.41221374045801,94.68854961832061,galaksi_andromeda_galaxy_astrophotography_2_features.json,585
Yıldız,120.5,41.21320295333862,0.8915058049994837,1.0769230769230769,0.9717741935483871,0.33005379428999726,71.17985611510792,37.492685483004514,171.0,85.61151079136691,71.76978417266187,64.44604316546763,galaksi_andromeda_galaxy_astrophotography_2_features.json,778
Yıldız,255.5,61.35533857345581,0.8528959546226345,1.3529411764705883,0.9789272030651341,0.6562260267071949,91.34751773049645,47.35155764670086,198.0,115.58510638297872,89.0177304964539,86.6241134751773,galaksi_andromeda_galaxy_astrophotography_2_features.json,831
Galaksi,1711684.0,74272.93703508377,0.003899170798046039,1.2644422310756973,0.7157135229181415,0.9625792818786039,32.5293690448191,36.32415564403097,255.0,27.47893680122531,32.07236566603374,35.36874078578271,galaksi_andromeda_galaxy_astrophotography_3_features.json,66604
Galaksi,114810.5,37608.053065896034,0.0010200695187302597,1.0037558685446009,0.006305765980263329,0.4131549198479066,13.489998117824205,6.58087788920146,115.0,14.908360624882365,14.143203463203463,11.917364953886693,galaksi_andromeda_galaxy_astrophotography_3_features.json,91999
Yıldız,767.5,108.32590103149414,0.8219087955016774,0.8611111111111112,0.9540087010565569,0.4898713273610833,229.97177914110432,15.18420033388089,249.0,234.65398773006137,229.9276073619632,228.65889570552147,galaksi_andromeda_galaxy_astrophotography_4_features.json,6324
Yıldız,603.0,94.56854164600372,0.8472933397789689,1.103448275862069,0.9678972712680578,0.4039119027240422,106.32970451010887,69.85063048777323,254.0,106.69673405909798,106.97822706065318,104.83514774494557,galaksi_andromeda_galaxy_astrophotography_4_features.json,7497
Yıldız,731.5,104.32590043544769,0.844578284691583,1.2857142857142858,0.9838601210490922,0.6996911878626195,115.86615186615187,67.35489747135831,255.0,114.34749034749035,116.69498069498069,114.74131274131274,galaksi_andromeda_galaxy_astrophotography_4_features.json,15533
Yıldız,22.0,20.485281229019165,0.6587925570046588,1.0,0.8461538461538461,0.6675365953718317,92.28125,96.67478807030042,255.0,92.28125,92.28125,92.28125,galaksi_elliptical_galaxy_deep_sky_2_features.json,3
Yıldız,18.5,17.071067690849304,0.797737896300187,0.7142857142857143,0.9487179487179487,0.7214381877635339,135.29629629629628,96.86524232906129,255.0,135.29629629629628,135.29629629629628,135.29629629629628,galaksi_elliptical_galaxy_deep_sky_2_features.json,5
Yıldız,18.5,17.071067690849304,0.797737896300187,0.7142857142857143,0.9487179487179487,0.773484834496118,98.03703703703704,94.44750902798452,255.0,98.03703703703704,98.03703703703704,98.03703703703704,galaksi_elliptical_galaxy_deep_sky_2_features.json,98
Yıldız,15.0,15.656854152679443,0.7689393938672696,1.2,0.9375,0.6547245723946664,124.13043478260869,94.47212809483804,255.0,124.13043478260869,124.13043478260869,124.13043478260869,galaksi_elliptical_galaxy_deep_sky_2_features.json,99
Yıldız,526.5,123.982754945755,0.4304132921826483,1.1379310344827587,0.8025914634146342,0.4849806026130213,45.25301204819277,50.70001896391494,245.0,68.80206540447504,51.80895008605852,23.35800344234079,galaksi_elliptical_galaxy_deep_sky_3_features.json,715
Galaksi,973.0,138.02438497543335,0.6418167736149367,0.8666666666666667,0.9446601941747573,0.8739200727463831,207.95247332686714,18.216519484974782,251.0,203.2298739088264,200.67701260911736,223.9815712900097,galaksi_elliptical_galaxy_deep_sky_3_features.json,772
